"region","varieties","size"
"Ciwangi","High Yield",7.299
"Gunungwangi","High Yield",1.691
"Langan","High Yield",90.01
"Malausma","High Yield",3.307
"Sukaambit","High Yield",12.45
"Wargabinangun","High Yield",63.738
"Ciwangi","Mixed Crop",3.689
"Gunungwangi","Mixed Crop",4.408
"Langan","Mixed Crop",13.892
"Malausma","Mixed Crop",2.084
"Sukaambit","Mixed Crop",3.684
"Wargabinangun","Mixed Crop",5.164
"Ciwangi","Traditional",76.798
"Gunungwangi","Traditional",85.556
"Langan","Traditional",5.762
"Malausma","Traditional",38.881
"Sukaambit","Traditional",17.224
"Wargabinangun","Traditional",7.182
